,data,valor,modalidade,longo_prazo_deflacionado
246,2015-05,2.48,Empréstimo com consignação em folha,266683756680.2756
247,2015-05,2.48,Empréstimo sem consignação em folha,62285156236.20701
248,2015-05,2.48,Habitacional,622497985070.3635
249,2015-05,2.48,Outros créditos,60418300115.620705
250,2015-05,2.48,Rural e agroindustrial,156891483332.8992
251,2015-05,2.48,Veículos,132691227607.41443
252,2015-06,2.52,Cartão de crédito,2747583805.763781
253,2015-06,2.52,Empréstimo com consignação em folha,267133194170.0547
254,2015-06,2.52,Empréstimo sem consignação em folha,62148445996.4359
255,2015-06,2.52,Habitacional,625641017809.2465
256,2015-06,2.52,Outros créditos,59415498876.1124
257,2015-06,2.52,Rural e agroindustrial,158633843300.5907
258,2015-06,2.52,Veículos,129814849847.27872
259,2015-07,2.58,Cartão de crédito,2455108538.2270846
260,2015-07,2.58,Empréstimo com consignação em folha,266857062952.8693
261,2015-07,2.58,Empréstimo sem consignação em folha,61839907121.92047
262,2015-07,2.58,Habitacional,628924530488.0875
263,2015-07,2.58,Outros créditos,59506553321.70791
264,2015-07,2.58,Rural e agroindustrial,162011561365.36246
265,2015-07,2.58,Veículos,127148582090.18431
266,2015-08,2.62,Cartão de crédito,2468228246.4858756
267,2015-08,2.62,Empréstimo com consignação em folha,266755286441.67578
268,2015-08,2.62,Empréstimo sem consignação em folha,60946935319.8575
269,2015-08,2.62,Habitacional,632165222796.5891
270,2015-08,2.62,Outros créditos,59758943348.447235
271,2015-08,2.62,Rural e agroindustrial,161909581637.55774
272,2015-08,2.62,Veículos,124236336897.247
273,2015-09,2.65,Cartão de crédito,2501601059.6591244
274,2015-09,2.65,Empréstimo com consignação em folha,268827200537.14587
275,2015-09,2.65,Empréstimo sem consignação em folha,60579536908.69916
276,2015-09,2.65,Habitacional,636942682947.9034
277,2015-09,2.65,Outros créditos,60775409706.458405
278,2015-09,2.65,Rural e agroindustrial,160955923087.43887
279,2015-09,2.65,Veículos,122474335076.6839
280,2015-10,2.71,Cartão de crédito,2500356324.9772096
281,2015-10,2.71,Empréstimo com consignação em folha,267109837392.92746
282,2015-10,2.71,Empréstimo sem consignação em folha,59865232470.76605
283,2015-10,2.71,Habitacional,640049352583.2205
284,2015-10,2.71,Outros créditos,60029159087.10753
285,2015-10,2.71,Rural e agroindustrial,157646036078.77145
286,2015-10,2.71,Veículos,119923067859.23724
287,2015-11,2.74,Cartão de crédito,2611758349.4585657
288,2015-11,2.74,Empréstimo com consignação em folha,265912362152.96567
289,2015-11,2.74,Empréstimo sem consignação em folha,59359152276.972435
290,2015-11,2.74,Habitacional,640053964381.7046
291,2015-11,2.74,Outros créditos,60275840751.63196
292,2015-11,2.74,Rural e agroindustrial,156412271401.13092
293,2015-11,2.74,Veículos,117483607084.30772
294,2015-12,2.68,Cartão de crédito,2644404910.71479
295,2015-12,2.68,Empréstimo com consignação em folha,263359019458.2387
296,2015-12,2.68,Empréstimo sem consignação em folha,58806265036.16254
297,2015-12,2.68,Habitacional,641236022848.14
298,2015-12,2.68,Outros créditos,59971421958.649765
299,2015-12,2.68,Rural e agroindustrial,155974447909.93033
300,2015-12,2.68,Veículos,115046809471.31328
301,2016-01,2.77,Cartão de crédito,2564909806.447918
302,2016-01,2.77,Empréstimo com consignação em folha,262179664746.50092
303,2016-01,2.77,Empréstimo sem consignação em folha,57530998676.31795
304,2016-01,2.77,Habitacional,638701024089.1051
305,2016-01,2.77,Outros créditos,59755156968.03243
306,2016-01,2.77,Rural e agroindustrial,154301894494.31503
307,2016-01,2.77,Veículos,112307091949.48877
308,2016-02,2.81,Cartão de crédito,2579019998.082254
309,2016-02,2.81,Empréstimo com consignação em folha,261138943482.33942
310,2016-02,2.81,Empréstimo sem consignação em folha,56613819210.48022
311,2016-02,2.81,Habitacional,634343915230.0955
312,2016-02,2.81,Outros créditos,58765182234.88059
313,2016-02,2.81,Rural e agroindustrial,152873830844.04364
314,2016-02,2.81,Veículos,109011320358.04832
315,2016-03,2.86,Cartão de crédito,2560245080.5546384
316,2016-03,2.86,Empréstimo com consignação em folha,260800531285.28064
317,2016-03,2.86,Empréstimo sem consignação em folha,56506865027.82133
318,2016-03,2.86,Habitacional,634336211851.377
319,2016-03,2.86,Outros créditos,58035516371.89044
320,2016-03,2.86,Rural e agroindustrial,154164484325.54385
321,2016-03,2.86,Veículos,105974718772.08441
322,2016-04,2.91,Cartão de crédito,2538412679.0113096
323,2016-04,2.91,Empréstimo com consignação em folha,260979322094.56958
324,2016-04,2.91,Empréstimo sem consignação em folha,56246057790.05576
325,2016-04,2.91,Habitacional,632122795909.6414
326,2016-04,2.91,Outros créditos,57601686275.91334
327,2016-04,2.91,Rural e agroindustrial,156982377738.90518
328,2016-04,2.91,Veículos,103932736346.08743
329,2016-05,2.93,Cartão de crédito,2530785586.9815383
330,2016-05,2.93,Empréstimo com consignação em folha,260313683832.25015
331,2016-05,2.93,Empréstimo sem consignação em folha,55826155367.3087
332,2016-05,2.93,Habitacional,632936775675.8628
333,2016-05,2.93,Outros créditos,57665665550.84665
334,2016-05,2.93,Rural e agroindustrial,158135687942.35083
335,2016-05,2.93,Veículos,101513971521.46405
336,2016-06,2.91,Cartão de crédito,2552702671.335103
337,2016-06,2.91,Empréstimo com consignação em folha,261070341507.09378
338,2016-06,2.91,Empréstimo sem consignação em folha,55563146715.25081
339,2016-06,2.91,Habitacional,633480472973.6897
340,2016-06,2.91,Outros créditos,57249200487.53237
341,2016-06,2.91,Rural e agroindustrial,162090085024.53973
342,2016-06,2.91,Veículos,99690923863.69313
343,2016-07,2.92,Cartão de crédito,2571639394.306188
344,2016-07,2.92,Empréstimo com consignação em folha,260953476738.05112
345,2016-07,2.92,Empréstimo sem consignação em folha,55234091377.53975
346,2016-07,2.92,Habitacional,636486698042.7745
347,2016-07,2.92,Outros créditos,57120460491.16435
348,2016-07,2.92,Rural e agroindustrial,160650566781.47992
349,2016-07,2.92,Veículos,98116827060.78108
350,2016-08,2.93,Cartão de crédito,2615863062.2070384
351,2016-08,2.93,Empréstimo com consignação em folha,260242956644.19568
352,2016-08,2.93,Empréstimo sem consignação em folha,54182035998.37621
353,2016-08,2.93,Habitacional,639180158500.0581
354,2016-08,2.93,Outros créditos,56638457790.686066
355,2016-08,2.93,Rural e agroindustrial,158069909035.1427
356,2016-08,2.93,Veículos,96608852158.8995
357,2016-09,2.97,Cartão de crédito,2548586277.3243427
358,2016-09,2.97,Empréstimo com consignação em folha,260709528320.87085
359,2016-09,2.97,Empréstimo sem consignação em folha,53870033298.27344
360,2016-09,2.97,Habitacional,640791681499.2786
361,2016-09,2.97,Outros créditos,56441324858.13797
362,2016-09,2.97,Rural e agroindustrial,153728776665.9034
363,2016-09,2.97,Veículos,95387682594.44023
364,2016-10,2.98,Cartão de crédito,2563207318.389523
365,2016-10,2.98,Empréstimo com consignação em folha,260868974782.63818
366,2016-10,2.98,Empréstimo sem consignação em folha,52662780325.080025
367,2016-10,2.98,Habitacional,636335103193.2336
368,2016-10,2.98,Outros créditos,56212806521.72271
369,2016-10,2.98,Rural e agroindustrial,150389168066.7777
370,2016-10,2.98,Veículos,93748339189.14626
371,2016-11,2.98,Cartão de crédito,2662814551.446188
372,2016-11,2.98,Empréstimo com consignação em folha,261038303196.6914
373,2016-11,2.98,Empréstimo sem consignação em folha,52136214735.7092
374,2016-11,2.98,Habitacional,640034542401.4315
375,2016-11,2.98,Outros créditos,56925305517.19965
376,2016-11,2.98,Rural e agroindustrial,149549181904.31854
377,2016-11,2.98,Veículos,93704706524.99597
378,2016-12,2.92,Cartão de crédito,2635407870.634733
379,2016-12,2.92,Empréstimo com consignação em folha,261039737563.4555
380,2016-12,2.92,Empréstimo sem consignação em folha,51454459745.26723
381,2016-12,2.92,Habitacional,645909527404.5508
382,2016-12,2.92,Outros créditos,56702808225.19992
383,2016-12,2.92,Rural e agroindustrial,151642904380.58093
384,2016-12,2.92,Veículos,94021846084.27316
385,2017-01,2.93,Cartão de crédito,2568642072.822685
386,2017-01,2.93,Empréstimo com consignação em folha,261722387817.36682
387,2017-01,2.93,Empréstimo sem consignação em folha,50984053143.01833
388,2017-01,2.93,Habitacional,647369032414.4595
389,2017-01,2.93,Outros créditos,56109496354.397224
390,2017-01,2.93,Rural e agroindustrial,151068405165.50623
391,2017-01,2.93,Veículos,93817133072.48119
392,2017-02,2.89,Cartão de crédito,2525600056.2654724
393,2017-02,2.89,Empréstimo com consignação em folha,263066184961.4702
394,2017-02,2.89,Empréstimo sem consignação em folha,51551692367.63086
395,2017-02,2.89,Habitacional,648524381032.002
396,2017-02,2.89,Outros créditos,55393497837.93025
397,2017-02,2.89,Rural e agroindustrial,151435495485.74728
398,2017-02,2.89,Veículos,93572026558.15579
399,2017-03,2.88,Cartão de crédito,2458994398.455119
400,2017-03,2.88,Empréstimo com consignação em folha,264339292247.89975
401,2017-03,2.88,Empréstimo sem consignação em folha,50989979603.743835
402,2017-03,2.88,Habitacional,650210489859.2635
403,2017-03,2.88,Outros créditos,54960315327.00927
404,2017-03,2.88,Rural e agroindustrial,154413225629.38275
405,2017-03,2.88,Veículos,93171703921.84778
406,2017-04,2.71,Cartão de crédito,2495416137.0585093
407,2017-04,2.71,Empréstimo com consignação em folha,264866679549.64243
408,2017-04,2.71,Empréstimo sem consignação em folha,50834381797.94471
409,2017-04,2.71,Habitacional,652050125724.5045
410,2017-04,2.71,Outros créditos,54297717241.694176
411,2017-04,2.71,Rural e agroindustrial,156776439347.29132
412,2017-04,2.71,Veículos,92687498232.95209
413,2017-05,2.59,Cartão de crédito,2792221690.3029566
414,2017-05,2.59,Empréstimo com consignação em folha,267860429523.8514
415,2017-05,2.59,Empréstimo sem consignação em folha,51306443411.65923
416,2017-05,2.59,Habitacional,655113999585.4255
417,2017-05,2.59,Outros créditos,53921479197.70864
