,data,valor,data_divida,porte,valor_deflacionado
285,2015-01,1.24,2015-01,Mais de 3 a 5 salários mínimos,188972891134.58466
286,2015-01,1.24,2015-01,Mais de 5 a 10 salários mínimos,260554622979.55322
287,2015-01,1.24,2015-01,Sem rendimento,29603626950.38543
288,2015-02,1.22,2015-02,Acima de 20 salários mínimos,267865625991.3034
289,2015-02,1.22,2015-02,Até 1 salário mínimo,88884158230.47243
290,2015-02,1.22,2015-02,Indisponível,1010776256.6833367
291,2015-02,1.22,2015-02,Mais de 1 a 2 salários mínimos,135341436442.4557
292,2015-02,1.22,2015-02,Mais de 10 a 20 salários mínimos,218744765443.88943
293,2015-02,1.22,2015-02,Mais de 2 a 3 salários mínimos,152487820293.30786
294,2015-02,1.22,2015-02,Mais de 3 a 5 salários mínimos,188074185742.46896
295,2015-02,1.22,2015-02,Mais de 5 a 10 salários mínimos,259555629188.38208
296,2015-02,1.22,2015-02,Sem rendimento,29938678023.563004
297,2015-03,1.32,2015-03,Acima de 20 salários mínimos,268120181912.47482
298,2015-03,1.32,2015-03,Até 1 salário mínimo,92540428584.55518
299,2015-03,1.32,2015-03,Indisponível,979089316.0594095
300,2015-03,1.32,2015-03,Mais de 1 a 2 salários mínimos,135258572661.59593
301,2015-03,1.32,2015-03,Mais de 10 a 20 salários mínimos,217815352646.2564
302,2015-03,1.32,2015-03,Mais de 2 a 3 salários mínimos,152107627322.44125
303,2015-03,1.32,2015-03,Mais de 3 a 5 salários mínimos,186529013728.7735
304,2015-03,1.32,2015-03,Mais de 5 a 10 salários mínimos,258296799961.59933
305,2015-03,1.32,2015-03,Sem rendimento,28184618226.49048
306,2015-04,0.71,2015-04,Acima de 20 salários mínimos,270276652253.6567
307,2015-04,0.71,2015-04,Até 1 salário mínimo,72455037794.75764
308,2015-04,0.71,2015-04,Indisponível,946913461.938556
309,2015-04,0.71,2015-04,Mais de 1 a 2 salários mínimos,136804036814.87964
310,2015-04,0.71,2015-04,Mais de 10 a 20 salários mínimos,222763651651.55307
311,2015-04,0.71,2015-04,Mais de 2 a 3 salários mínimos,157712786682.6393
312,2015-04,0.71,2015-04,Mais de 3 a 5 salários mínimos,189856049045.92245
313,2015-04,0.71,2015-04,Mais de 5 a 10 salários mínimos,262589746987.20956
314,2015-04,0.71,2015-04,Sem rendimento,27635884454.732986
315,2015-05,0.74,2015-05,Acima de 20 salários mínimos,272819722029.16208
316,2015-05,0.74,2015-05,Até 1 salário mínimo,65025842932.12722
317,2015-05,0.74,2015-05,Indisponível,916093492.436671
318,2015-05,0.74,2015-05,Mais de 1 a 2 salários mínimos,135603473029.1467
319,2015-05,0.74,2015-05,Mais de 10 a 20 salários mínimos,224903256902.02188
320,2015-05,0.74,2015-05,Mais de 2 a 3 salários mínimos,158474671479.63852
321,2015-05,0.74,2015-05,Mais de 3 a 5 salários mínimos,191041140902.57898
322,2015-05,0.74,2015-05,Mais de 5 a 10 salários mínimos,263251729392.76297
323,2015-05,0.74,2015-05,Sem rendimento,27145250155.603493
324,2015-06,0.79,2015-06,Acima de 20 salários mínimos,274032401296.41132
325,2015-06,0.79,2015-06,Até 1 salário mínimo,66819855956.48964
326,2015-06,0.79,2015-06,Indisponível,888566922.0615269
327,2015-06,0.79,2015-06,Mais de 1 a 2 salários mínimos,134079811496.5971
328,2015-06,0.79,2015-06,Mais de 10 a 20 salários mínimos,225294299473.57248
329,2015-06,0.79,2015-06,Mais de 2 a 3 salários mínimos,158198158394.64062
330,2015-06,0.79,2015-06,Mais de 3 a 5 salários mínimos,190244670834.73102
331,2015-06,0.79,2015-06,Mais de 5 a 10 salários mínimos,263443019891.92596
332,2015-06,0.79,2015-06,Sem rendimento,27613217756.111336
333,2015-07,0.62,2015-07,Acima de 20 salários mínimos,271132085169.2381
334,2015-07,0.62,2015-07,Até 1 salário mínimo,71447931508.14699
335,2015-07,0.62,2015-07,Indisponível,869593567.6361674
336,2015-07,0.62,2015-07,Mais de 1 a 2 salários mínimos,139892858928.1471
337,2015-07,0.62,2015-07,Mais de 10 a 20 salários mínimos,222502728772.03644
338,2015-07,0.62,2015-07,Mais de 2 a 3 salários mínimos,158840597038.97858
339,2015-07,0.62,2015-07,Mais de 3 a 5 salários mínimos,184667009816.5594
340,2015-07,0.62,2015-07,Mais de 5 a 10 salários mínimos,261888343984.94818
341,2015-07,0.62,2015-07,Sem rendimento,32667947353.25569
342,2015-08,0.22,2015-08,Acima de 20 salários mínimos,280978724604.4748
343,2015-08,0.22,2015-08,Até 1 salário mínimo,71346892106.9913
344,2015-08,0.22,2015-08,Indisponível,856158888.1031543
345,2015-08,0.22,2015-08,Mais de 1 a 2 salários mínimos,131349553623.68196
346,2015-08,0.22,2015-08,Mais de 10 a 20 salários mínimos,224806595538.18643
347,2015-08,0.22,2015-08,Mais de 2 a 3 salários mínimos,156225481377.54562
348,2015-08,0.22,2015-08,Mais de 3 a 5 salários mínimos,188665818411.4723
349,2015-08,0.22,2015-08,Mais de 5 a 10 salários mínimos,260695041136.563
350,2015-08,0.22,2015-08,Sem rendimento,28468549854.23317
351,2015-09,0.54,2015-09,Acima de 20 salários mínimos,283352270998.22516
352,2015-09,0.54,2015-09,Até 1 salário mínimo,74665523742.02826
353,2015-09,0.54,2015-09,Indisponível,845000772.9841726
354,2015-09,0.54,2015-09,Mais de 1 a 2 salários mínimos,130988479724.84615
355,2015-09,0.54,2015-09,Mais de 10 a 20 salários mínimos,224661638688.58282
356,2015-09,0.54,2015-09,Mais de 2 a 3 salários mínimos,156536573889.26266
357,2015-09,0.54,2015-09,Mais de 3 a 5 salários mínimos,188069501876.66052
358,2015-09,0.54,2015-09,Mais de 5 a 10 salários mínimos,259601448578.16287
359,2015-09,0.54,2015-09,Sem rendimento,29617941457.78713
360,2015-10,0.82,2015-10,Acima de 20 salários mínimos,279877127671.16974
