cnae_secao,Entrada,Nascimento,Reentrada,Saída de atividade,Sobrevivente,Total de empresas ativas,data_base,carteira_ativa,ativo_problematico,Seção CNAE e ano,Saída de atividade/Total
Construção,46817.0,33491.0,13326.0,49511.0,191087.0,237904.0,2017,80406964416.84,20071131026.06,Construção (2017),0.20811335664805972
Comércio; reparação de veículos automotores e motocicletas,245288.0,178556.0,66732.0,294465.0,1640413.0,1885701.0,2017,245623012019.73,23321238247.04,Comércio; reparação de veículos automotores e motocicletas (2017),0.15615678201369146
"Transporte, armazenagem e correio",33295.0,23891.0,9404.0,37455.0,190634.0,223929.0,2017,129143179564.76,16973302252.81,"Transporte, armazenagem e correio (2017)",0.16726283777447315
Alojamento e alimentação,45223.0,36406.0,8817.0,51434.0,260050.0,305273.0,2017,12928903533.3,2113584123.93,Alojamento e alimentação (2017),0.16848525745807852
Informação e comunicação,26556.0,19056.0,7500.0,25165.0,111243.0,137799.0,2017,21688121623.94,3469059634.74,Informação e comunicação (2017),0.18262106401352696
"Atividades financeiras, de seguros e serviços relacionados",18708.0,14337.0,4371.0,14475.0,71497.0,90205.0,2017,56954341350.58,9671013310.16,"Atividades financeiras, de seguros e serviços relacionados (2017)",0.16046782329139184
Atividades imobiliárias,17916.0,12997.0,4919.0,12350.0,71816.0,89732.0,2017,21364922527.75,3184519484.4700003,Atividades imobiliárias (2017),0.1376320599117372
"Atividades profissionais, científicas e técnicas",59469.0,45697.0,13772.0,43599.0,235818.0,295287.0,2017,17511756463.68,3022701083.47,"Atividades profissionais, científicas e técnicas (2017)",0.14764957482042892
Atividades administrativas e serviços complementares,52366.0,39058.0,13308.0,48777.0,236067.0,288433.0,2017,49985704058.81,3840006746.79,Atividades administrativas e serviços complementares (2017),0.16911033064871217
"Administração pública, defesa e seguridade social",33.0,19.0,14.0,31.0,145.0,178.0,2017,132490334776.27,2941728609.21,"Administração pública, defesa e seguridade social (2017)",0.17415730337078653
Educação,15940.0,12248.0,3692.0,13094.0,88631.0,104571.0,2017,8997484535.57,643406279.14,Educação (2017),0.12521636017633953
Saúde humana e serviços sociais,36466.0,30479.0,5987.0,17881.0,158993.0,195459.0,2017,17910420356.68,899327941.67,Saúde humana e serviços sociais (2017),0.0914821011056027
"Artes, cultura, esporte e recreação",9130.0,6778.0,2352.0,9005.0,41624.0,50754.0,2017,3171112974.71,315867288.34000003,"Artes, cultura, esporte e recreação (2017)",0.17742443945304803
Outras atividades de serviços,16186.0,11988.0,4198.0,18900.0,82567.0,98753.0,2017,18966917009.31,503604364.05,Outras atividades de serviços (2017),0.19138659078711534
Indústrias extrativas,1301.0,866.0,435.0,1657.0,8425.0,9726.0,2018,17724484501.97,445661041.06,Indústrias extrativas (2018),0.17036808554390295
Indústrias de transformação,42200.0,31357.0,10843.0,59579.0,340996.0,383196.0,2018,361393638420.45,25365408330.32,Indústrias de transformação (2018),0.15547918036722722
Eletricidade e gás,649.0,424.0,225.0,510.0,2135.0,2784.0,2018,151591589889.75998,3754502037.85,Eletricidade e gás (2018),0.18318965517241378
